date, fng_value,fng_classification
1/2/2018,30,Fear
1/3/2018,38,Fear
1/4/2018,16,Extreme Fear
1/5/2018,56,Greed
1/6/2018,24,Extreme Fear
1/7/2018,27,Fear
1/8/2018,39,Fear
1/9/2018,21,Extreme Fear
1/10/2018,35,Fear
1/11/2018,29,Fear
1/12/2018,13,Extreme Fear
2/2/2018,15,Extreme Fear
2/3/2018,47,Neutral
2/4/2018,11,Extreme Fear
2/5/2018,52,Neutral
2/6/2018,27,Fear
2/7/2018,27,Fear
2/8/2018,39,Fear
2/9/2018,18,Extreme Fear
2/10/2018,33,Fear
2/11/2018,36,Fear
2/12/2018,15,Extreme Fear
3/2/2018,40,Fear
3/3/2018,56,Greed
3/4/2018,22,Extreme Fear
3/5/2018,55,Greed
3/6/2018,40,Fear
3/7/2018,31,Fear
3/8/2018,36,Fear
3/9/2018,19,Extreme Fear
3/10/2018,36,Fear
3/11/2018,36,Fear
3/12/2018,17,Extreme Fear
4/2/2018,24,Fear
4/3/2018,44,Fear
4/4/2018,22,Extreme Fear
4/5/2018,56,Greed
4/6/2018,41,Fear
4/7/2018,33,Fear
4/8/2018,31,Fear
4/9/2018,26,Fear
4/10/2018,29,Fear
4/11/2018,41,Fear
4/12/2018,12,Extreme Fear
5/2/2018,11,Extreme Fear
5/3/2018,55,Greed
5/4/2018,17,Extreme Fear
5/5/2018,63,Greed
5/6/2018,26,Fear
5/7/2018,37,Fear
5/8/2018,23,Extreme Fear
5/9/2018,17,Extreme Fear
5/10/2018,37,Fear
5/11/2018,42,Fear
5/12/2018,19,Extreme Fear
6/2/2018,8,Extreme Fear
6/3/2018,59,Greed
6/4/2018,19,Extreme Fear
6/5/2018,67,Greed
6/6/2018,42,Fear
6/7/2018,34,Fear
6/8/2018,25,Extreme Fear
6/9/2018,14,Extreme Fear
6/10/2018,34,Fear
6/11/2018,42,Fear
6/12/2018,13,Extreme Fear
7/2/2018,36,Fear
7/3/2018,37,Fear
7/4/2018,20,Extreme Fear
7/5/2018,56,Greed
7/6/2018,38,Fear
7/7/2018,34,Fear
7/8/2018,25,Extreme Fear
7/9/2018,17,Extreme Fear
7/10/2018,29,Fear
7/11/2018,48,Neutral
7/12/2018,11,Extreme Fear
8/2/2018,30,Fear
8/3/2018,39,Fear
8/4/2018,17,Extreme Fear
8/5/2018,62,Greed
8/6/2018,40,Fear
8/7/2018,38,Fear
8/8/2018,23,Extreme Fear
8/9/2018,18,Extreme Fear
8/10/2018,26,Fear
8/11/2018,51,Neutral
8/12/2018,11,Extreme Fear
9/2/2018,44,Fear
9/3/2018,37,Fear
9/4/2018,21,Extreme Fear
9/5/2018,53,Neutral
9/6/2018,39,Fear
9/7/2018,39,Fear
9/8/2018,19,Extreme Fear
9/9/2018,13,Extreme Fear
9/10/2018,31,Fear
9/11/2018,47,Neutral
9/12/2018,14,Extreme Fear
10/2/2018,54,Neutral
10/3/2018,39,Fear
10/4/2018,18,Extreme Fear
10/5/2018,63,Greed
10/6/2018,24,Extreme Fear
10/7/2018,37,Fear
10/8/2018,21,Extreme Fear
10/9/2018,15,Extreme Fear
10/10/2018,28,Fear
10/11/2018,52,Neutral
10/12/2018,19,Extreme Fear
11/2/2018,31,Fear
11/3/2018,40,Fear
11/4/2018,20,Extreme Fear
11/5/2018,41,Fear
11/6/2018,15,Extreme Fear
11/7/2018,29,Fear
11/8/2018,18,Extreme Fear
11/9/2018,18,Extreme Fear
11/10/2018,19,Extreme Fear
11/11/2018,54,Neutral
11/12/2018,15,Extreme Fear
12/2/2018,42,Fear
12/3/2018,41,Fear
12/4/2018,18,Extreme Fear
12/5/2018,44,Fear
12/6/2018,19,Extreme Fear
12/7/2018,33,Fear
12/8/2018,18,Extreme Fear
12/9/2018,14,Extreme Fear
12/10/2018,13,Extreme Fear
12/11/2018,52,Neutral
12/12/2018,14,Extreme Fear
1/1/2019,24,Extreme Fear
1/2/2019,23,Extreme Fear
1/3/2019,42,Fear
1/4/2019,62,Greed
1/5/2019,51,Neutral
1/6/2019,62,Greed
1/7/2019,65,Greed
2/1/2019,30,Fear
2/2/2019,22,Extreme Fear
2/3/2019,41,Fear
2/4/2019,60,Greed
2/5/2019,50,Neutral
2/6/2019,63,Greed
2/7/2019,63,Greed
3/1/2019,33,Fear
3/2/2019,19,Extreme Fear
3/3/2019,44,Fear
3/4/2019,71,Greed
3/5/2019,63,Greed
3/6/2019,66,Greed
3/7/2019,79,Extreme Greed
4/1/2019,48,Neutral
4/2/2019,27,Fear
4/3/2019,36,Fear
4/4/2019,61,Greed
4/5/2019,66,Greed
4/6/2019,42,Fear
4/7/2019,76,Extreme Greed
5/1/2019,36,Fear
5/2/2019,21,Extreme Fear
5/3/2019,35,Fear
5/4/2019,59,Greed
5/5/2019,67,Greed
5/6/2019,27,Fear
5/7/2019,67,Greed
6/1/2019,31,Fear
6/2/2019,14,Extreme Fear
6/3/2019,42,Fear
6/4/2019,65,Greed
6/5/2019,57,Greed
6/6/2019,34,Fear
6/7/2019,72,Greed
7/1/2019,39,Fear
7/2/2019,18,Extreme Fear
7/3/2019,56,Greed
7/4/2019,69,Greed
7/5/2019,69,Greed
7/6/2019,27,Fear
7/7/2019,67,Greed
8/1/2019,39,Fear
8/2/2019,37,Fear
8/3/2019,54,Neutral
8/4/2019,65,Greed
8/5/2019,63,Greed
8/6/2019,62,Greed
8/7/2019,74,Greed
9/1/2019,42,Fear
9/2/2019,42,Fear
9/3/2019,55,Greed
9/4/2019,64,Greed
9/5/2019,69,Greed
9/6/2019,62,Greed
9/7/2019,84,Extreme Greed
10/1/2019,37,Fear
10/2/2019,40,Fear
10/3/2019,55,Greed
10/4/2019,62,Greed
10/5/2019,71,Greed
10/6/2019,46,Fear
10/7/2019,83,Extreme Greed
11/1/2019,19,Extreme Fear
11/2/2019,46,Fear
11/3/2019,56,Greed
11/4/2019,65,Greed
11/5/2019,76,Extreme Greed
11/6/2019,61,Greed
11/7/2019,62,Greed
12/1/2019,22,Extreme Fear
12/2/2019,38,Fear
12/3/2019,56,Greed
12/4/2019,42,Fear
12/5/2019,75,Greed
12/6/2019,60,Greed
12/7/2019,33,Fear
13-01-2019,21,Extreme Fear
13-02-2018,35,Fear
13-02-2019,48,Neutral
13-03-2018,41,Fear
13-03-2019,54,Neutral
13-04-2018,23,Extreme Fear
13-04-2019,62,Greed
13-05-2018,40,Fear
13-05-2019,78,Extreme Greed
13-06-2018,19,Extreme Fear
13-06-2019,63,Greed
13-07-2018,29,Fear
13-07-2019,65,Greed
13-08-2018,21,Extreme Fear
13-09-2018,20,Extreme Fear
13-10-2018,15,Extreme Fear
13-11-2018,56,Greed
13-12-2018,14,Extreme Fear
14-01-2019,16,Extreme Fear
14-02-2018,55,Greed
14-02-2019,48,Neutral
14-03-2018,40,Fear
14-03-2019,55,Greed
14-04-2019,51,Neutral
14-05-2018,40,Fear
14-05-2019,78,Extreme Greed
14-06-2018,17,Extreme Fear
14-06-2019,67,Greed
14-07-2018,29,Fear
14-07-2019,61,Greed
14-08-2018,16,Extreme Fear
14-09-2018,23,Extreme Fear
14-10-2018,18,Extreme Fear
14-11-2018,49,Neutral
14-12-2018,10,Extreme Fear
15-01-2019,27,Fear
15-02-2018,71,Greed
15-02-2019,43,Fear
15-03-2018,32,Fear
15-03-2019,55,Greed
15-04-2019,60,Greed
15-05-2018,40,Fear
15-05-2019,77,Extreme Greed
15-06-2018,26,Fear
15-06-2019,75,Greed
15-07-2018,32,Fear
15-07-2019,16,Extreme Fear
15-08-2018,18,Extreme Fear
15-09-2018,24,Extreme Fear
15-10-2018,20,Extreme Fear
15-11-2018,28,Fear
15-12-2018,11,Extreme Fear
16-01-2019,24,Extreme Fear
16-02-2018,67,Greed
16-02-2019,43,Fear
16-03-2018,33,Fear
16-03-2019,54,Neutral
16-04-2019,50,Neutral
16-05-2018,32,Fear
16-05-2019,75,Greed
16-06-2018,22,Extreme Fear
16-06-2019,80,Extreme Greed
